Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,28756,0,56,68.5831254955114,2.1099089990457287,981.2799520004774,79.0,240.85459987963281,0.0,56,74,88,98,130,160,210,260,760,870,980
,Aggregated,28756,0,56,68.5831254955114,2.1099089990457287,981.2799520004774,79.0,240.85459987963281,0.0,56,74,88,98,130,160,210,260,760,870,980
