Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,12401,0,10,15.581323542290718,1.3437599991448224,192.73067100039043,79.0,209.47605338071628,0.0,10,16,20,23,34,46,63,80,130,190,190
,Aggregated,12401,0,10,15.581323542290718,1.3437599991448224,192.73067100039043,79.0,209.47605338071628,0.0,10,16,20,23,34,46,63,80,130,190,190
