Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,17392,0,55,71.59539510095787,2.7502439988893457,477.5182209996274,79.0,146.6410336039651,0.0,55,81,100,110,150,190,240,280,370,450,480
,Aggregated,17392,0,55,71.59539510095787,2.7502439988893457,477.5182209996274,79.0,146.6410336039651,0.0,55,81,100,110,150,190,240,280,370,450,480
