Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,10952,0,20,29.79527253943096,1.9860979991790373,309.4703090009716,79.0,187.31616644822773,0.0,20,29,37,43,64,88,120,140,230,310,310
,Aggregated,10952,0,20,29.79527253943096,1.9860979991790373,309.4703090009716,79.0,187.31616644822773,0.0,20,29,37,43,64,88,120,140,230,310,310
