Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,5254,0,45,58.586189349845824,2.7079159990535118,385.93953199961106,79.0,154.36884282664798,0.0,45,63,78,88,120,150,190,230,330,390,390
,Aggregated,5254,0,45,58.586189349845824,2.7079159990535118,385.93953199961106,79.0,154.36884282664798,0.0,45,63,78,88,120,150,190,230,330,390,390
