Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,6628,0,5,7.427694010714264,1.74314499963657,270.7160379995912,79.0,112.47616897844296,0.0,5,7,8,9,13,17,23,29,240,270,270
,Aggregated,6628,0,5,7.427694010714264,1.74314499963657,270.7160379995912,79.0,112.47616897844296,0.0,5,7,8,9,13,17,23,29,240,270,270
