Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,21575,0,24,34.85705563592336,1.3834670007781824,290.75052500047605,79.0,363.47864389402787,0.0,24,36,45,52,73,96,130,150,250,280,290
,Aggregated,21575,0,24,34.85705563592336,1.3834670007781824,290.75052500047605,79.0,363.47864389402787,0.0,24,36,45,52,73,96,130,150,250,280,290
