Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,4149,0,8,14.636144422999754,1.9056920009461464,442.5121210006182,79.0,70.37714965456706,0.0,8,13,17,19,32,45,65,82,290,440,440
,Aggregated,4149,0,8,14.636144422999754,1.9056920009461464,442.5121210006182,79.0,70.37714965456706,0.0,8,13,17,19,32,45,65,82,290,440,440
