Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,4072,0,9,14.851283479900424,1.9761909934459254,290.60610300075496,79.0,69.7852985620279,0.0,9,14,18,20,32,44,63,85,270,290,290
,Aggregated,4072,0,9,14.851283479900424,1.9761909934459254,290.60610300075496,79.0,69.7852985620279,0.0,9,14,18,20,32,44,63,85,270,290,290
