Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /cotizacion,3870,0,12,19.099414910550635,1.8088180004269816,306.2201159991673,79.0,66.76290202299046,0.0,12,18,23,27,42,59,87,110,290,310,310
,Aggregated,3870,0,12,19.099414910550635,1.8088180004269816,306.2201159991673,79.0,66.76290202299046,0.0,12,18,23,27,42,59,87,110,290,310,310
